season,cut,team,D
2022,6,Washington State,0.00027892645048161266
2022,6,West Virginia,-0.007014130235152567
2022,6,Western Kentucky,-0.0027743027638835053
2022,6,Western Michigan,-0.024379995827057216
2022,6,Wisconsin,0.023341390639411434
2022,6,Wyoming,0.0009247691625523611
2022,9,Air Force,0.009782798327879504
2022,9,Akron,-0.03235465877468685
2022,9,Alabama,0.020104591525521916
2022,9,App State,0.0069786551220887266
2022,9,Arizona,-0.013732205254926263
2022,9,Arizona State,-0.006920181229664079
2022,9,Arkansas,0.009930635141337721
2022,9,Arkansas State,-0.007008900040939018
2022,9,Army,-0.01056483812952529
2022,9,Auburn,-0.021486061121184587
2022,9,Ball State,-0.012641313200137533
2022,9,Baylor,0.01289978874218755
2022,9,Boise State,0.01685533555864026
2022,9,Boston College,-0.01680781972075093
2022,9,Bowling Green,-0.004504962301712643
2022,9,Buffalo,-0.028279048418315255
2022,9,California,-0.028202804368985042
2022,9,Central Michigan,-0.019534338329341257
2022,9,Charlotte,-0.02322458901320975
2022,9,Cincinnati,0.017441846522375095
2022,9,Clemson,0.024665848062707305
2022,9,Coastal Carolina,0.0049754112775577935
2022,9,Colorado,-0.04612221766385982
2022,9,Colorado State,-0.027777180688708197
2022,9,Duke,0.018719881877163703
2022,9,East Carolina,-0.005766466217581075
2022,9,Eastern Michigan,-0.005560436595235006
2022,9,Florida,0.002442608338425871
2022,9,Florida Atlantic,-0.015932191666480723
2022,9,Florida International,-0.017470664984851867
2022,9,Florida State,0.005097930407123511
2022,9,Fresno State,-0.005254035202709408
2022,9,Georgia,0.02601553730404548
2022,9,Georgia Southern,-0.014857727419932269
2022,9,Georgia State,-0.022970222929074694
2022,9,Georgia Tech,-0.019760062534949028
2022,9,Hawai'i,-0.015271177946392767
2022,9,Houston,0.013732470955647186
2022,9,Illinois,0.0289297229598011
2022,9,Indiana,-0.024981538600428944
2022,9,Iowa,-0.0021225595697443645
2022,9,Iowa State,-0.0061785367052478715
2022,9,James Madison,0.010485813021049001
2022,9,Kansas,-0.0014203072200144652
2022,9,Kansas State,0.019660761231124917
2022,9,Kent State,-0.008201031628998212
2022,9,Kentucky,-0.014753696394740518
2022,9,LSU,0.018629278068866505
2022,9,Louisiana,-0.00290339460545734
2022,9,Louisiana Tech,-0.023459374978576752
2022,9,Louisville,-0.0008608885044933806
2022,9,Marshall,-0.012817574102050401
2022,9,Maryland,0.0026118164423080716
2022,9,Massachusetts,-0.028358387125336348
2022,9,Memphis,0.0025955722463276557
2022,9,Miami,0.00924098782474204
2022,9,Miami (OH),-0.01812755262733986
2022,9,Michigan,0.03595203873912469
2022,9,Michigan State,-0.008436692534613313
2022,9,Middle Tennessee,-0.022291487948453065
2022,9,Minnesota,0.0200755929369981
2022,9,Mississippi State,-0.012021548053559301
2022,9,Missouri,-0.003998962101468945
2022,9,NC State,-0.004944716244915118
2022,9,Navy,-0.005082065115982392
2022,9,Nebraska,-0.014719951733888324
2022,9,Nevada,-0.03297218954933
2022,9,New Mexico,-0.05033399754700324
2022,9,North Carolina,-0.0011838684165026382
2022,9,North Texas,-0.00800819295484207
2022,9,Northern Illinois,-0.010805617664214753
2022,9,Northwestern,-0.015787900983985786
2022,9,Notre Dame,0.023248820839633307
2022,9,Ohio,-0.01014090437811073
2022,9,Ohio State,0.02070986511459121
2022,9,Oklahoma,-0.0014964535037931101
2022,9,Oklahoma State,-0.0010333992687966511
2022,9,Old Dominion,-0.020222604624383043
2022,9,Ole Miss,-0.006827779369723775
2022,9,Oregon,0.026686185986051707
2022,9,Oregon State,0.004676478521138649
2022,9,Penn State,-0.002720158922078398
2022,9,Pittsburgh,-0.007545170861818907
2022,9,Purdue,-0.011774198423095255
2022,9,Rice,-0.029266433239083213
2022,9,Rutgers,-0.014283399734955923
2022,9,SMU,-0.011425318383123146
2022,9,San Diego State,-0.024714795664873855
2022,9,San José State,-0.013837108346947099
2022,9,South Alabama,0.00438308795879781
2022,9,South Carolina,-0.021139803940445855
2022,9,South Florida,-0.020957330067493726
2022,9,Southern Miss,-0.021549666918602516
2022,9,Stanford,-0.012835091652535742
2022,9,Syracuse,0.00514105326542709
2022,9,TCU,0.011548767675209709
2022,9,Temple,-0.0237286980205433
2022,9,Tennessee,0.01107697626686475
2022,9,Texas,0.013696158617315228
2022,9,Texas A&M,-0.004245601994582625
2022,9,Texas State,0.007407574492618355
2022,9,Texas Tech,-0.014390740912064768
2022,9,Toledo,0.02138694618018408
2022,9,Troy,-0.0026872373226766205
2022,9,Tulane,0.013217268835482066
2022,9,Tulsa,-0.019859972840204135
2022,9,UAB,0.0023835733901645434
2022,9,UCF,0.0072624362003821915
2022,9,UCLA,0.0164013367809174
2022,9,UConn,-0.013094619101365125
2022,9,UL Monroe,-0.017017581883908325
2022,9,UNLV,-0.007325989338640766
2022,9,USC,0.0182598773058531
2022,9,UTEP,-0.003318468563515844
2022,9,UTSA,0.00229690281473424
2022,9,Utah,3.014121007957328e-05
2022,9,Utah State,-0.023581806736500906
2022,9,Vanderbilt,-0.02621610445324019
2022,9,Virginia,-0.02520095417583975
2022,9,Virginia Tech,-0.019708776154208286
2022,9,Wake Forest,0.003223079163924703
2022,9,Washington,0.017247511893164705
2022,9,Washington State,-0.005401349697535896
2022,9,West Virginia,-0.009229885485934957
2022,9,Western Kentucky,-0.0023118349964393993
2022,9,Western Michigan,-0.016645100695172513
2022,9,Wisconsin,0.016755849770075843
2022,9,Wyoming,-0.0017215295459611477
2023,3,Air Force,0.016603098565351058
2023,3,Akron,-0.01899022622255005
2023,3,Alabama,0.004961241415312451
2023,3,App State,-0.0018006803549754373
2023,3,Arizona,-5.769449627739641e-05
2023,3,Arizona State,-0.005466893974681733
2023,3,Arkansas,0.018549695631255077
2023,3,Arkansas State,-0.011436464788523266
2023,3,Army,-0.002861194010604715
2023,3,Auburn,0.007736505838482176
2023,3,BYU,0.010220011640178097
2023,3,Ball State,-0.013495770243560199
2023,3,Baylor,0.0023357892571400952
2023,3,Boise State,-0.0375700717593187
2023,3,Boston College,0.002117738333123734
2023,3,Bowling Green,-0.01795590359495561
2023,3,Buffalo,-0.0030980858358578165
2023,3,California,0.007011160943265135
2023,3,Central Michigan,-0.028165771980063144
2023,3,Charlotte,0.003730548748073769
2023,3,Cincinnati,-0.0005765385027726719
2023,3,Clemson,0.007472939147449863
2023,3,Coastal Carolina,-0.017999227840460968
2023,3,Colorado,-0.0017856744063965897
2023,3,Colorado State,-0.006655102984218905
2023,3,Duke,0.0067416966012017075
2023,3,East Carolina,-0.025668276028108294
2023,3,Eastern Michigan,-0.009044406250301814
2023,3,Florida,0.010357712483647738
2023,3,Florida Atlantic,-0.0022786800900329975
2023,3,Florida International,-0.008536649670805935
2023,3,Florida State,0.0022829994805971194
2023,3,Fresno State,0.002378416873921105
2023,3,Georgia,0.006686700438166886
2023,3,Georgia Southern,0.0070072653232470805
2023,3,Georgia State,-0.0016542223696005638
2023,3,Georgia Tech,0.011977152975320765
2023,3,Hawai'i,-0.016085907468067172
2023,3,Houston,-0.009161927610566525
2023,3,Illinois,-0.012208592521656188
2023,3,Indiana,-0.007318371484670355
2023,3,Iowa,0.015940370936768797
2023,3,Iowa State,0.0001856754114014492
2023,3,Jacksonville State,0.001441167128476686
2023,3,James Madison,0.009009796203932066
2023,3,Kansas,0.016977828470096087
2023,3,Kansas State,0.0034342143967565015
2023,3,Kent State,-0.01694038208525523
2023,3,Kentucky,0.0016270300753545945
2023,3,LSU,0.014291988494107575
2023,3,Liberty,0.0037576808631226456
2023,3,Louisiana,0.016712424601475283
2023,3,Louisiana Tech,-0.004883241451165816
2023,3,Louisville,0.0072989622647787545
2023,3,Marshall,0.013528321405769933
2023,3,Maryland,0.01663263230856315
2023,3,Massachusetts,-0.03441038242887652
2023,3,Memphis,0.017594127597169867
2023,3,Miami,0.01303987642538523
2023,3,Miami (OH),-0.015698601058677285
2023,3,Michigan,0.03212311067198559
2023,3,Michigan State,-0.00026204153800325476
2023,3,Middle Tennessee,-0.02160033553294762
2023,3,Minnesota,-0.008018340368772752
2023,3,Mississippi State,-0.0064330856678818625
2023,3,Missouri,0.021149093087308
2023,3,NC State,0.006904637773152277
2023,3,Navy,0.014878553213847444
2023,3,Nebraska,-0.008111851926294805
2023,3,Nevada,-0.03840567252769465
2023,3,New Mexico,-0.01549292797662066
2023,3,New Mexico State,-0.017069234820024343
2023,3,North Carolina,-0.0028106155255258943
2023,3,North Texas,-0.01654809384037505
2023,3,Northern Illinois,-0.03940451847859206
2023,3,Northwestern,-0.019203451349075883
2023,3,Notre Dame,0.018946108291471763
