season,team,fbs_games,adj_wins,adj_win_pct,fbs_wins,fbs_win_pct
2022,Southern Miss,12,6.0,0.5,6,0.5
2022,Old Dominion,12,3.5,0.2916666666666667,3,0.25
2022,Virginia Tech,10,3.5,0.35,2,0.2
2022,Illinois,12,8.5,0.7083333333333334,7,0.5833333333333334
2022,Wyoming,12,5.0,0.4166666666666667,6,0.5
2022,Northwestern,11,2.5,0.22727272727272727,1,0.09090909090909091
2022,Indiana,11,2.5,0.22727272727272727,3,0.2727272727272727
2022,Purdue,13,5.5,0.4230769230769231,7,0.5384615384615384
2022,Maryland,13,7.0,0.5384615384615384,8,0.6153846153846154
2022,Buffalo,12,6.0,0.5,7,0.5833333333333334
2022,Rutgers,11,2.5,0.22727272727272727,3,0.2727272727272727
2022,Virginia,9,2.5,0.2777777777777778,2,0.2222222222222222
2022,Georgia Southern,12,5.0,0.4166666666666667,5,0.4166666666666667
2022,Arkansas State,11,3.0,0.2727272727272727,2,0.18181818181818182
2022,Nevada,11,3.5,0.3181818181818182,2,0.18181818181818182
2022,Toledo,13,8.5,0.6538461538461539,8,0.6153846153846154
2022,Temple,11,4.0,0.36363636363636365,2,0.18181818181818182
2022,Central Michigan,11,3.0,0.2727272727272727,3,0.2727272727272727
2022,East Carolina,12,7.0,0.5833333333333334,7,0.5833333333333334
2022,Western Michigan,11,3.0,0.2727272727272727,4,0.36363636363636365
2022,UCF,13,7.0,0.5384615384615384,8,0.6153846153846154
2022,James Madison,10,6.5,0.65,7,0.7
2022,Louisiana,12,7.0,0.5833333333333334,5,0.4166666666666667
2022,Florida Atlantic,11,5.0,0.45454545454545453,4,0.36363636363636365
2022,Charlotte,11,2.5,0.22727272727272727,3,0.2727272727272727
2022,UTEP,12,4.5,0.375,5,0.4166666666666667
2022,North Texas,13,6.5,0.5,6,0.46153846153846156
2022,Louisiana Tech,11,3.5,0.3181818181818182,2,0.18181818181818182
2022,Middle Tennessee,12,6.0,0.5,7,0.5833333333333334
2022,Rice,12,4.0,0.3333333333333333,4,0.3333333333333333
2022,UTSA,13,8.5,0.6538461538461539,10,0.7692307692307693
2022,Western Kentucky,13,8.5,0.6538461538461539,8,0.6153846153846154
2022,Florida International,11,3.0,0.2727272727272727,3,0.2727272727272727
2022,UAB,12,8.0,0.6666666666666666,6,0.5
2023,Jacksonville State,12,6.5,0.5416666666666666,8,0.6666666666666666
2023,UTEP,11,3.0,0.2727272727272727,2,0.18181818181818182
2023,Louisiana Tech,11,3.5,0.3181818181818182,2,0.18181818181818182
2023,Florida International,11,2.0,0.18181818181818182,3,0.2727272727272727
2023,Vanderbilt,11,1.0,0.09090909090909091,1,0.09090909090909091
2023,Hawai'i,12,4.0,0.3333333333333333,4,0.3333333333333333
2023,Minnesota,13,5.5,0.4230769230769231,6,0.46153846153846156
2023,Nebraska,12,7.0,0.5833333333333334,5,0.4166666666666667
2023,Alabama,13,9.5,0.7307692307692307,11,0.8461538461538461
2023,Middle Tennessee,11,4.5,0.4090909090909091,3,0.2727272727272727
2023,Auburn,12,6.0,0.5,5,0.4166666666666667
2023,Massachusetts,11,2.5,0.22727272727272727,2,0.18181818181818182
2023,BYU,11,4.0,0.36363636363636365,4,0.36363636363636365
2023,Sam Houston,11,4.0,0.36363636363636365,2,0.18181818181818182
2023,Illinois,12,4.0,0.3333333333333333,5,0.4166666666666667
2023,Toledo,13,8.5,0.6538461538461539,10,0.7692307692307693
2023,Indiana,11,3.0,0.2727272727272727,2,0.18181818181818182
2023,Ohio State,12,9.5,0.7916666666666666,10,0.8333333333333334
2023,Iowa,14,8.0,0.5714285714285714,10,0.7142857142857143
2023,Utah State,12,4.5,0.375,5,0.4166666666666667
2023,Kentucky,12,7.0,0.5833333333333334,6,0.5
2023,Ball State,11,3.5,0.3181818181818182,3,0.2727272727272727
2023,Liberty,14,12.0,0.8571428571428571,13,0.9285714285714286
2023,Bowling Green,12,6.5,0.5416666666666666,6,0.5
2023,Michigan,15,13.5,0.9,15,1.0
2023,East Carolina,11,3.0,0.2727272727272727,1,0.09090909090909091
2023,Michigan State,11,2.5,0.22727272727272727,3,0.2727272727272727
2023,Central Michigan,11,2.5,0.22727272727272727,4,0.36363636363636365
2023,North Carolina,12,7.0,0.5833333333333334,7,0.5833333333333334
2023,South Carolina,11,3.5,0.3181818181818182,4,0.36363636363636365
2023,Penn State,12,9.5,0.7916666666666666,9,0.75
2023,West Virginia,12,7.0,0.5833333333333334,8,0.6666666666666666
2023,Purdue,12,4.5,0.375,4,0.3333333333333333
2023,Fresno State,12,7.0,0.5833333333333334,8,0.6666666666666666
2023,Rutgers,12,5.0,0.4166666666666667,6,0.5
2023,Northwestern,12,5.5,0.4583333333333333,7,0.5833333333333334
2023,SMU,13,9.0,0.6923076923076923,10,0.7692307692307693
2023,Texas A&M,12,8.0,0.6666666666666666,6,0.5
2023,New Mexico,11,2.5,0.22727272727272727,3,0.2727272727272727
2023,UConn,11,3.5,0.3181818181818182,2,0.18181818181818182
2023,NC State,12,6.5,0.5416666666666666,8,0.6666666666666666
2023,UL Monroe,11,1.5,0.13636363636363635,1,0.09090909090909091
2023,Army,10,4.0,0.4,4,0.4
