team,season,games,wins,win_pct,margin_pg,pf_pg,pa_pg,conference
Central Michigan,2019,14,8,0.5714285714285714,2.142857142857143,30.428571428571427,28.285714285714285,MAC
Central Michigan,2021,13,9,0.6923076923076923,6.538461538461538,32.30769230769231,25.76923076923077,MAC
Central Michigan,2022,12,4,0.3333333333333333,-3.4166666666666665,24.75,28.166666666666668,MAC
Central Michigan,2023,12,5,0.4166666666666667,-7.916666666666667,23.166666666666668,31.083333333333332,MAC
Central Michigan,2024,12,4,0.3333333333333333,-7.083333333333333,22.583333333333332,29.666666666666668,MAC
Central Michigan,2025,13,7,0.5384615384615384,-1.0,22.53846153846154,23.53846153846154,Mid-American
Charlotte,2015,12,2,0.16666666666666666,-18.75,17.5,36.25,CUSA
Charlotte,2016,12,4,0.3333333333333333,-9.416666666666666,25.166666666666668,34.583333333333336,CUSA
Charlotte,2017,12,1,0.08333333333333333,-18.583333333333332,14.166666666666666,32.75,CUSA
Charlotte,2018,12,5,0.4166666666666667,-4.916666666666667,21.666666666666668,26.583333333333332,CUSA
Charlotte,2019,13,7,0.5384615384615384,-2.5384615384615383,29.846153846153847,32.38461538461539,CUSA
Charlotte,2021,12,5,0.4166666666666667,-6.833333333333333,27.166666666666668,34.0,CUSA
Charlotte,2022,12,3,0.25,-15.0,24.416666666666668,39.416666666666664,CUSA
Charlotte,2023,12,3,0.25,-11.083333333333334,17.5,28.583333333333332,AAC
Charlotte,2024,12,5,0.4166666666666667,-11.416666666666666,23.666666666666668,35.083333333333336,AAC
Charlotte,2025,12,1,0.08333333333333333,-22.0,14.333333333333334,36.333333333333336,American Athletic
Cincinnati,2014,13,9,0.6923076923076923,6.769230769230769,34.0,27.23076923076923,AAC
Cincinnati,2015,13,7,0.5384615384615384,2.6923076923076925,33.84615384615385,31.153846153846153,AAC
Cincinnati,2016,12,4,0.3333333333333333,-7.583333333333333,19.333333333333332,26.916666666666668,AAC
Cincinnati,2017,12,4,0.3333333333333333,-10.916666666666666,20.916666666666668,31.833333333333332,AAC
Cincinnati,2018,13,11,0.8461538461538461,17.692307692307693,34.92307692307692,17.23076923076923,AAC
Cincinnati,2019,14,11,0.7857142857142857,9.071428571428571,29.642857142857142,20.571428571428573,AAC
Cincinnati,2021,14,13,0.9285714285714286,20.0,36.857142857142854,16.857142857142858,AAC
Cincinnati,2022,13,9,0.6923076923076923,8.615384615384615,29.23076923076923,20.615384615384617,AAC
Cincinnati,2023,12,3,0.25,-5.916666666666667,24.083333333333332,30.0,B12
Cincinnati,2024,12,5,0.4166666666666667,0.5833333333333334,25.166666666666668,24.583333333333332,B12
Cincinnati,2025,13,7,0.5384615384615384,4.6923076923076925,30.307692307692307,25.615384615384617,Big 12
Clemson,2014,13,10,0.7692307692307693,14.153846153846153,30.846153846153847,16.692307692307693,ACC
Clemson,2015,15,14,0.9333333333333333,16.8,38.46666666666667,21.666666666666668,ACC
Clemson,2016,15,14,0.9333333333333333,21.2,39.2,18.0,ACC
Clemson,2017,14,12,0.8571428571428571,19.714285714285715,33.285714285714285,13.571428571428571,ACC
Clemson,2018,15,15,1.0,31.133333333333333,44.266666666666666,13.133333333333333,ACC
Clemson,2019,15,14,0.9333333333333333,30.4,43.93333333333333,13.533333333333333,ACC
Clemson,2021,13,10,0.7692307692307693,11.461538461538462,26.307692307692307,14.846153846153847,ACC
Clemson,2022,14,11,0.7857142857142857,12.357142857142858,33.214285714285715,20.857142857142858,ACC
Clemson,2023,13,9,0.6923076923076923,8.76923076923077,29.846153846153847,21.076923076923077,ACC
Clemson,2024,14,10,0.7142857142857143,11.285714285714286,34.714285714285715,23.428571428571427,ACC
Clemson,2025,13,7,0.5384615384615384,6.6923076923076925,27.23076923076923,20.53846153846154,ACC
Coastal Carolina,2017,12,3,0.25,-10.333333333333334,23.666666666666668,34.0,SBC
Coastal Carolina,2018,12,5,0.4166666666666667,-6.5,26.666666666666668,33.166666666666664,SBC
Coastal Carolina,2019,12,5,0.4166666666666667,-0.16666666666666666,30.333333333333332,30.5,SBC
Coastal Carolina,2021,13,11,0.8461538461538461,19.307692307692307,40.92307692307692,21.615384615384617,SBC
Coastal Carolina,2022,13,9,0.6923076923076923,-2.769230769230769,29.076923076923077,31.846153846153847,SBC
Coastal Carolina,2023,13,8,0.6153846153846154,3.8461538461538463,27.692307692307693,23.846153846153847,SBC
Coastal Carolina,2024,13,6,0.46153846153846156,-2.923076923076923,28.692307692307693,31.615384615384617,SBC
Coastal Carolina,2025,13,6,0.46153846153846156,-10.923076923076923,22.153846153846153,33.07692307692308,Sun Belt
Colorado,2014,12,2,0.16666666666666666,-10.5,28.5,39.0,PAC
